Code,Borough,Uptake
E09000002,Barking And Dagenham,66
E09000003,Barnet,70
E09000004,Bexley,74.3
E09000005,Brent,63.4
E09000006,Bromley,78.3
E09000007,Camden,66.9
E09000012,City and Hackney,61.4
E09000008,Croydon,68.9
E09000009,Ealing,67.4
E09000010,Enfield,68
E09000011,Greenwich,67.5
E09000013,Hammersmith And Fulham,60.6
E09000014,Haringey,61.3
E09000015,Harrow,74.1
E09000016,Havering,74.8
E09000017,Hillingdon,73.8
E09000018,Hounslow,70.6
E09000019,Islington,65.1
E09000020,Kensington And Chelsea,61.6
E09000021,Kingston Upon Thames,75.3
E09000022,Lambeth,59.6
E09000023,Lewisham,59.6
E09000024,Merton,66.6
E09000025,Newham,63.2
E09000026,Redbridge,70.9
E09000027,Richmond Upon Thames,76.5
E09000028,Southwark,63.2
E09000029,Sutton,75.6
E09000030,Tower Hamlets,64.9
E09000031,Waltham Forest,64.8
E09000032,Wandsworth,66.2
E09000033,Westminster,61.1
