Area,Year,Value
England,2006,3.018
England,2007,2.9126
England,2008,2.8945
England,2008,2.8945
England,2009,2.9193
England,2010,2.8532
England,2011,2.8446
England,2012,2.7981
England,2013,2.8221
England,2014,2.8641
England,2015,2.7745
England,2016,2.7862
England,2017,2.8193
England,2018,2.8648
England,2019,2.9029
England,2020,2.8562
England,2021,2.7742
London,2006,3.4883
London,2007,3.2002
London,2008,3.252
London,2009,3.2324
London,2010,3.078
London,2011,3.2233
London,2012,3.1151
London,2013,3.1885
London,2014,3.1722
London,2015,3.0313
London,2016,3.0071
London,2017,3.0089
London,2018,3.0743
London,2019,3.1991
London,2020,3.2939
London,2021,3.2959
